Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
KARW,PT. ICTSI Jasa Prima Tbk,76.0,"-5 (-6,17%)",23.0,3.0,44612.0
LRNA,PT. Eka Sari Lorena Transport Tbk,129.0,"-2 (-1,53%)",-107.0,-1.0,45150.0
FORU,PT. Fortune Indonesia Tbk,99.0,"0 (0,00%)",-28.0,-4.0,46035.0
MTSM,PT. Metro Realty Tbk,200.0,"7 (3,63%)",-12.0,-16.0,46400.0
LMAS,PT. Limas Indonesia Makmur Tbk,59.0,"-1 (-1,67%)",-2.0,-37.0,46433.0
TRUK,PT. Guna Timur Raya Tbk,109.0,"-4 (-3,54%)",0.0,2561.0,47415.0
MGNA,PT. Magna Investama Mandiri Tbk,50.0,"0 (0,00%)",-41.0,-1.0,50150.0
JAYA,PT. Armada Berjaya Trans Tbk,137.0,"-1 (-0,72%)",4.0,31.0,51375.0
PKPK,PT. Perdana Karya Perkasa Tbk,86.0,"-2 (-2,27%)",-6.0,-14.0,51600.0
LMSH,PT. Lionmesh Prima Tbk,555.0,"0 (0,00%)",32.0,17.0,53280.0
SDMU,PT. Sidomulyo Selaras Tbk,51.0,"-1 (-1,92%)",-26.0,-2.0,57885.0
TRIL,PT. Triwira Insanlestari Tbk,50.0,"0 (0,00%)",-3.0,-18.0,60000.0
BAPA,PT. Bekasi Asri Pemula Tbk,93.0,"-1 (-1,06%)",8.0,11.0,61473.0
ETWA,PT. Eterindo Wahanatama Tbk,72.0,"0 (0,00%)",-170.0,-0.0,69696.0
MRAT,PT. Mustika Ratu Tbk,169.0,"-1 (-0,59%)",2.0,69.0,72332.0
TIRT,PT. Tirta Mahakam Resources Tbk,72.0,"2 (2,86%)",-74.0,-1.0,72792.0
PYFA,PT. Pyridam Farma Tbk,171.0,"-9 (-5,00%)",11.0,16.0,91485.0
FINN,PT. First Indo American Leasing Tbk,50.0,"0 (0,00%)",3.0,18.0,93000.0
YELO,PT. Yelooo Integra Datanet Tbk,246.0,"-2 (-0,81%)",8.0,31.0,93480.0
KICI,PT. Kedaung Indah Can Tbk,354.0,"14 (4,12%)",-3.0,-112.0,97704.0
MPOW,PT. Megapower Makmur Tbk,120.0,"-4 (-3,23%)",-5.0,-23.0,97920.0
MTWI,PT. Malacca Trust Wuwungan Insurance Tbk,65.0,"-2 (-2,99%)",2.0,35.0,99125.0
DPNS,PT. Duta Pertiwi Nusantara Tbk,300.0,"-24 (-7,41%)",38.0,8.0,99300.0
INCI,PT. Intanwijaya Internasional Tbk,515.0,"-10 (-1,90%)",110.0,5.0,100940.0
ASBI,PT. Asuransi Bintang Tbk,292.0,"-8 (-2,67%)",110.0,3.0,101616.0
INTD,PT. Inter Delta Tbk,174.0,"23 (15,23%)",9.0,20.0,102834.0
HADE,PT. Himalaya Energi Perkasa Tbk,50.0,"0 (0,00%)",-1.0,-100.0,106000.0
ICON,PT. Island Concepts Indonesia Tbk,100.0,"-5 (-4,76%)",28.0,4.0,108900.0
KPAS,PT. Cottonindo Ariesta Tbk,142.0,"-2 (-1,39%)",13.0,11.0,109056.0
HELI,PT. Jaya Trishindo Tbk,134.0,"-3 (-2,19%)",6.0,23.0,109746.0
BCIP,PT. Bumi Citra Permai Tbk,80.0,"0 (0,00%)",44.0,2.0,114320.0
FOOD,PT. Sentra Food Indonesia Tbk,181.0,"-2 (-1,09%)",2.0,105.0,117650.0
PUDP,PT. Pudjiadi Prestige Tbk,358.0,"0 (0,00%)",-41.0,-9.0,117782.0
PRAS,PT. Prima Alloy Steel Universal Tbk,169.0,"-2 (-1,17%)",22.0,8.0,118469.0
RICY,PT. Ricky Putra Globalindo Tbk,188.0,"0 (0,00%)",4.0,44.0,120508.0
BPTR,PT. Batavia Prosperindo Trans Tbk,78.0,"0 (0,00%)",10.0,8.0,120900.0
APLI,PT. Asiaplast Industries Tbk,89.0,"5 (5,95%)",-12.0,-7.0,121218.0
TNCA,PT. Trimuda Nuansa Citra Tbk,288.0,"-8 (-2,70%)",6.0,46.0,121248.0
OASA,PT. Protech Mitra Perkasa Tbk,350.0,"42 (13,64%)",-2.0,-166.0,125300.0
WEHA,PT. Weha Transportasi Indonesia Tbk,144.0,"0 (0,00%)",1.0,125.0,127584.0
MBTO,PT. Martina Berto Tbk,121.0,"-8 (-6,20%)",-78.0,-2.0,129470.0
SDPC,PT. Millennium Pharmacon International Tbk,104.0,"-2 (-1,89%)",15.0,7.0,132496.0
CTTH,PT. Citatah  Tbk,108.0,"-3 (-2,70%)",5.0,21.0,132840.0
CAKK,PT. Cahayaputra Asa Keramik Tbk,111.0,"-4 (-3,48%)",43.0,3.0,133533.0
BMSR,PT. Bintang Mitra Semestaraya Tbk,116.0,"-19 (-14,07%)",4.0,26.0,134444.0
SAFE,PT. Steady Safe Tbk,220.0,"18 (8,91%)",-25.0,-9.0,135300.0
VINS,PT. Victoria Insurance Tbk,95.0,"-12 (-11,21%)",12.0,8.0,138035.0
CANI,PT. Capitol Nusantara Indonesia Tbk,167.0,"0 (0,00%)",-35.0,-5.0,139111.0
SATU,PT. Kota Satu Properti Tbk,112.0,"-1 (-0,88%)",-1.0,-199.0,140000.0
CSIS,PT. Cahayasakti Investindo Sukses Tbk,108.0,"-2 (-1,82%)",-14.0,-7.0,141156.0
LMPI,PT. Langgeng Makmur Industri Tbk,141.0,"-3 (-2,08%)",-43.0,-3.0,142128.0
GOLD,PT. Visi Telekomunikasi Infrastruktur Tbk,454.0,"16 (3,65%)",-18.0,-25.0,142556.0
PTIS,PT. Indo Straits Tbk,262.0,"0 (0,00%)",0.0,2183330.0,144100.0
