Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
PSSI,PT. Pelita Samudera Shipping Tbk,167.0,"-1 (-0,60%)",40.0,4.0,840511.0
GSMF,PT. Equity Development Investment Tbk,113.0,"3 (2,73%)",8.0,15.0,842302.0
SKBM,PT. Sekar Bumi Tbk,498.0,"66 (15,28%)",10.0,52.0,859548.0
GDYR,PT. Goodyear Indonesia Tbk,2100.0,"100 (5,00%)",-26.0,-81.0,861000.0
FPNI,PT. Lotte Chemical Titan Tbk,155.0,"0 (0,00%)",17.0,9.0,862730.0
INRU,PT. Toba Pulp Lestari Tbk,630.0,"0 (0,00%)",0.0,222301.0,874440.0
BGTG,PT. Bank Ganesha Tbk,80.0,"0 (0,00%)",1.0,158.0,885040.0
IDPR,PT. Indonesia Pondasi Raya Tbk,446.0,"-2 (-0,45%)",21.0,21.0,893338.0
TMAS,PT. Pelayaran Tempuran Emas Tbk,785.0,"0 (0,00%)",14.0,57.0,895685.0
WINS,PT. Wintermar Offshore Marine Tbk,214.0,"0 (0,00%)",-87.0,-2.0,906932.0
VICO,PT. Victoria Investama Tbk,102.0,"1 (0,99%)",7.0,15.0,933300.0
PDES,PT. Destinasi Tirta Nusantara Tbk,1330.0,"-50 (-3,62%)",19.0,71.0,950950.0
ADMG,PT. Polychem Indonesia Tbk,246.0,"-14 (-5,38%)",45.0,6.0,956694.0
JECC,PT. Jembo Cable Company Tbk,6400.0,"0 (0,00%)",668.0,10.0,966400.0
PBSA,PT. Paramita Bangun Sarana Tbk,650.0,"5 (0,78%)",45.0,15.0,975000.0
NRCA,PT. Nusa Raya Cipta Tbk,400.0,"-4 (-0,99%)",47.0,8.0,998400.0
SMDR,PT. Samudera Indonesia Tbk,306.0,"-8 (-2,55%)",40.0,8.0,1002150.0
SIPD,PT. Sierad Produce Tbk,750.0,"0 (0,00%)",18.0,42.0,1004250.0
DART,PT. Duta Anggada Realty Tbk,320.0,"-8 (-2,44%)",7.0,48.0,1005120.0
PANS,PT. Panin Sekuritas Tbk,1435.0,"0 (0,00%)",47.0,30.0,1033200.0
SKLT,PT. Sekar Laut Tbk,1500.0,"0 (0,00%)",29.0,51.0,1035000.0
TRST,PT. Trias Sentosa Tbk,370.0,"-10 (-2,63%)",15.0,25.0,1038960.0
BNBR,PT. Bakrie & Brothers Tbk,50.0,"0 (0,00%)",-79.0,-1.0,1043150.0
TRIM,PT. Trimegah Sekuritas Indonesia Tbk,147.0,"1 (0,68%)",9.0,17.0,1045023.0
BRNA,PT. Berlina Tbk,1080.0,"-25 (-2,26%)",-34.0,-31.0,1057320.0
ACST,PT. Acset Indonusa Tbk,1555.0,"-25 (-1,58%)",26.0,60.0,1088500.0
DEWA,PT. Darma Henwa Tbk,50.0,"0 (0,00%)",1.0,66.0,1092650.0
INPC,PT. Bank Artha Graha Internasional Tbk,71.0,"-2 (-2,74%)",4.0,18.0,1110298.0
LTLS,PT. Lautan Luas Tbk,720.0,"30 (4,35%)",100.0,7.0,1123200.0
HKMU,PT. HK Metals Utama Tbk,350.0,"-4 (-1,13%)",22.0,16.0,1127350.0
JGLE,PT. Graha Andrasentra Propertindo Tbk,50.0,"0 (0,00%)",-2.0,-24.0,1129050.0
JIHD,PT. Jakarta International Hotels & Development Tbk,494.0,"0 (0,00%)",1.0,543.0,1150526.0
BPFI,PT. Batavia Prosperindo  Finance Tbk,650.0,"0 (0,00%)",43.0,15.0,1158300.0
BABP,PT. Bank MNC Internasional Tbk,50.0,"0 (0,00%)",6.0,9.0,1159500.0
WOMF,PT. Wahana Ottomitra Multiartha Tbk,336.0,"-2 (-0,59%)",62.0,5.0,1169616.0
BLTA,PT. Berlian Laju Tanker Tbk,50.0,"0 (0,00%)",3.0,15.0,1174150.0
HRTA,PT. Hartadinata Abadi Tbk,256.0,"-4 (-1,54%)",30.0,9.0,1178880.0
KKGI,PT. Resource Alam Indonesia Tbk,236.0,"-32 (-11,94%)",2.0,123.0,1180000.0
DKFT,PT. Central Omega Resources Tbk,210.0,"0 (0,00%)",-9.0,-22.0,1183980.0
COWL,PT. Cowell Development Tbk,244.0,"-6 (-2,40%)",-56.0,-4.0,1188524.0
MBSS,PT. Mitrabahtera  Segara Sejati Tbk,680.0,"-30 (-4,23%)",-118.0,-6.0,1190000.0
DEFI,PT. Danasupra Erapacific Tbk,1765.0,"-20 (-1,12%)",4.0,496.0,1193140.0
DEAL,PT. Dewata Freightinternational Tbk,1080.0,"-25 (-2,26%)",1.0,1276.0,1209600.0
SUGI,PT. Sugih Energy Tbk,50.0,"0 (0,00%)",-1.0,-45.0,1240550.0
RAJA,PT. Rukun Raharja Tbk,304.0,"24 (8,57%)",32.0,9.0,1285008.0
VOKS,PT. Voksel Electric Tbk,310.0,"-6 (-1,90%)",16.0,19.0,1288050.0
CFIN,PT. Clipan Finance Indonesia Tbk,326.0,"2 (0,62%)",76.0,4.0,1298784.0
JSKY,PT. Sky Energy Indonesia Tbk,1285.0,"-10 (-0,77%)",27.0,47.0,1305560.0
LPCK,PT. Lippo Cikarang Tbk,1885.0,"-55 (-2,84%)",3096.0,1.0,1311960.0
MARI,PT. Mahaka Radio Integra Tbk,252.0,"-4 (-1,56%)",6.0,39.0,1323504.0
PTSN,PT. Sat Nusapersada Tbk,765.0,"-35 (-4,38%)",119.0,6.0,1354815.0
BVIC,PT. Bank Victoria International Tbk,160.0,"0 (0,00%)",9.0,17.0,1373440.0
JTPE,PT. Jasuindo Tiga Perkasa Tbk,810.0,"5 (0,62%)",33.0,24.0,1387530.0
BMAS,PT. Bank Maspion Indonesia Tbk,318.0,"16 (5,30%)",9.0,35.0,1398882.0
BULL,PT. Buana Lintas Lautan Tbk,192.0,"-2 (-1,03%)",27.0,7.0,1401408.0
DFAM,PT. Dafam Property Indonesia Tbk,805.0,"-10 (-1,23%)",-3.0,-256.0,1432095.0
PNBS,PT. Bank Panin Dubai Syariah Tbk,61.0,"-2 (-3,17%)",1.0,70.0,1446859.0
ECII,PT. Electronic City Indonesia Tbk,1090.0,"-5 (-0,46%)",14.0,81.0,1454060.0
CASS,PT. Cardig Aero Services Tbk,700.0,"0 (0,00%)",58.0,12.0,1460200.0
ATIC,PT. Anabatic Technologies Tbk,790.0,"-10 (-1,25%)",-10.0,-77.0,1481250.0
HOKI,PT. Buyung Poetra Sembada Tbk,625.0,"-15 (-2,34%)",40.0,16.0,1485000.0
KIAS,PT. Keramika Indonesia Assosiasi Tbk,100.0,"2 (2,04%)",-5.0,-21.0,1492900.0
AMAG,PT. Asuransi Multi Artha Guna Tbk,300.0,"0 (0,00%)",19.0,16.0,1500300.0
BBYB,PT. Bank Yudha Bhakti Tbk,268.0,"0 (0,00%)",10.0,26.0,1502140.0
SOCI,PT. Soechi Lines Tbk,214.0,"-4 (-1,83%)",19.0,11.0,1510626.0
GWSA,PT. Greenwood Sejahtera Tbk,194.0,"1 (0,52%)",17.0,11.0,1513200.0
INDS,PT. Indospring Tbk,2310.0,"-20 (-0,86%)",226.0,10.0,1515360.0
TRIO,PT. Trikomsel Oke Tbk,59.0,"-6 (-9,23%)",-1.0,-76.0,1534413.0
PRIM,PT. Royal Prima Tbk,454.0,"-2 (-0,44%)",6.0,81.0,1540422.0
MPPA,PT. Matahari Putra Prima Tbk,206.0,"0 (0,00%)",-59.0,-3.0,1550974.0
FORZ,PT. Forza Land Indonesia Tbk,785.0,"0 (0,00%)",1.0,548.0,1556655.0
IPCM,PT. Jasa Armada Indonesia Tbk,300.0,"-26 (-7,98%)",15.0,19.0,1585200.0
AGRS,PT. Bank Agris Tbk,306.0,"0 (0,00%)",-6.0,-51.0,1592118.0
INTA,PT. Intraco Penta Tbk,478.0,"0 (0,00%)",-93.0,-5.0,1593652.0
APEX,PT. Apexindo Pratama Duta Tbk,600.0,"-150 (-20,00%)",-259.0,-2.0,1595400.0
PTSP,PT. Pioneerindo Gourmet International Tbk,7275.0,"275 (3,93%)",59.0,123.0,1600500.0
AGII,PT. Aneka Gas Industri Tbk,540.0,"-10 (-1,82%)",33.0,17.0,1655640.0
MLPT,PT. Multipolar Technology Tbk,890.0,"0 (0,00%)",38.0,23.0,1668750.0
MSIN,PT. MNC Studios International Tbk,322.0,"-4 (-1,23%)",44.0,7.0,1675044.0
PORT,PT. Nusantara Pelabuhan Handal Tbk,600.0,"-50 (-7,69%)",0.0,2271.0,1687800.0
ASGR,PT. Astra Graphia Tbk,1255.0,"-10 (-0,79%)",76.0,17.0,1691740.0
CITY,PT. Natura City Developments Tbk,316.0,"0 (0,00%)",4.0,74.0,1706716.0
MLIA,PT. Mulia Industrindo Tbk,1310.0,"15 (1,16%)",794.0,2.0,1733130.0
PTRO,PT. Petrosea Tbk,1745.0,"-60 (-3,32%)",330.0,5.0,1758960.0
FISH,PT. FKS Multi Agro Tbk,3730.0,"0 (0,00%)",415.0,9.0,1790400.0
PALM,PT. Provident Agro Tbk,252.0,"-8 (-3,08%)",-16.0,-16.0,1793988.0
MERK,PT. Merck Tbk,4010.0,"-40 (-0,99%)",412.0,10.0,1796480.0
NFCX,PT. NFC Indonesia Tbk,2700.0,"10 (0,37%)",29.0,94.0,1798200.0
MLPL,PT. Multipolar Tbk,123.0,"-2 (-1,60%)",-82.0,-2.0,1800597.0
KBLI,PT. KMI Wire and Cable Tbk,450.0,"6 (1,35%)",35.0,13.0,1803150.0
MSKY,PT. MNC Sky Vision Tbk,1000.0,"40 (4,17%)",-175.0,-6.0,1813000.0
RDTX,PT. Roda Vivatex Tbk,6850.0,"0 (0,00%)",984.0,7.0,1835800.0
BTEL,PT. Bakrie Telecom Tbk,50.0,"0 (0,00%)",-30.0,-2.0,1838650.0
PEHA,PT. Phapros Tbk,2200.0,"0 (0,00%)",162.0,14.0,1848000.0
FMII,PT. Fortune Mate Indonesia Tbk,685.0,"0 (0,00%)",3.0,241.0,1863885.0
SCCO,PT. Supreme Cable Manufacturing & Commerce Tbk,9150.0,"0 (0,00%)",1278.0,7.0,1875750.0
SONA,PT. Sona Topas Tourism Industry Tbk,5700.0,"400 (7,55%)",315.0,18.0,1886700.0
BOLT,PT. Garuda Metalindo Tbk,825.0,"-15 (-1,79%)",34.0,24.0,1932975.0
UNIC,PT. Unggul Indah Cahaya Tbk,5100.0,"50 (0,99%)",932.0,5.0,1953300.0
MARK,PT. Mark Dynamics Indonesia Tbk,515.0,"-5 (-0,96%)",19.0,27.0,1957000.0
IKAI,PT. Intikeramik Alamasri Industri Tbk,163.0,"-1 (-0,61%)",6.0,28.0,1971648.0
GMTD,PT. Gowa Makassar Tourism Development Tbk,19850.0,"-50 (-0,25%)",608.0,33.0,2004850.0
BIPI,PT. Astrindo Nusantara Infrastruktur Tbk,50.0,"0 (0,00%)",7.0,7.0,2007900.0
PBID,PT. Panca Budi Idaman Tbk,1075.0,"0 (0,00%)",157.0,7.0,2015625.0
MTPS,PT. Meta Epsi Tbk,970.0,"-320 (-24,81%)",4.0,266.0,2019540.0
HRME,PT. Menteng Heritage Realty Tbk,342.0,"-14 (-3,93%)",-4.0,-87.0,2037636.0
DIVA,PT. Distribusi Voucher Nusantara Tbk,2860.0,"-40 (-1,38%)",11.0,252.0,2042040.0
TOTL,PT. Total Bangun Persada Tbk,600.0,"-5 (-0,83%)",61.0,10.0,2046000.0
INPS,PT. Indah Prakasa Sentosa Tbk,3180.0,"0 (0,00%)",-20.0,-161.0,2067000.0
DUCK,PT. Jaya Bersama Indo Tbk,1655.0,"90 (5,75%)",83.0,20.0,2123365.0
KRAH,PT. Grand Kartech Tbk,2200.0,"-10 (-0,45%)",-48.0,-46.0,2136200.0
PJAA,PT. Pembangunan Jaya Ancol Tbk,1350.0,"30 (2,27%)",27.0,49.0,2158650.0
SHIP,PT. Sillo Maritime Perdana Tbk,800.0,"-5 (-0,62%)",60.0,13.0,2175200.0
ELTY,PT. Bakrieland Development Tbk,50.0,"0 (0,00%)",95.0,1.0,2176050.0
CMPP,PT. AirAsia Indonesia Tbk,204.0,"4 (2,00%)",-80.0,-3.0,2179740.0
BACA,PT. Bank Capital Indonesia Tbk,314.0,"6 (1,95%)",19.0,17.0,2197686.0
CSAP,PT. Catur Sentosa Adiprana Tbk,500.0,"-90 (-15,25%)",17.0,30.0,2229000.0
VIVA,PT. Visi Media Asia Tbk,137.0,"-5 (-3,52%)",-67.0,-2.0,2255568.0
AMFG,PT. Asahimas Flat Glass Tbk,5200.0,"-450 (-7,96%)",140.0,37.0,2256800.0
POLI,PT. Pollux Investasi Internasional Tbk,1125.0,"25 (2,27%)",36.0,31.0,2261250.0
TGRA,PT. Terregra Asia Energy Tbk,830.0,"-5 (-0,60%)",1.0,1463.0,2282500.0
BOSS,PT. Borneo Olah Sarana Sukses Tbk,1655.0,"-45 (-2,65%)",16.0,104.0,2317000.0
SMRU,PT. SMR Utama Tbk,186.0,"-10 (-5,10%)",-6.0,-33.0,2324814.0
IPCC,PT. Indonesia Kendaraan Terminal Tbk,1320.0,"0 (0,00%)",108.0,12.0,2399760.0
ARII,PT. Atlas Resources Tbk,805.0,"-40 (-4,73%)",-137.0,-6.0,2415000.0
MOLI,PT. Madusari Murni Indah Tbk,1050.0,"-25 (-2,33%)",36.0,29.0,2450700.0
MCOR,PT. Bank China Construction Bank Indonesia Tbk,149.0,"-1 (-0,67%)",5.0,27.0,2453285.0
DVLA,PT. Darya-Varia Laboratoria Tbk,2200.0,"0 (0,00%)",194.0,11.0,2464000.0
LAND,PT. Trimitra Propertindo Tbk,900.0,"15 (1,69%)",6.0,147.0,2512800.0
GJTL,PT. Gajah Tunggal Tbk,725.0,"0 (0,00%)",-88.0,-8.0,2525900.0
HEXA,PT. Hexindo Adiperkasa Tbk,3050.0,"-50 (-1,61%)",408.0,7.0,2562000.0
SRAJ,PT. Sejahteraraya Anugrahjaya Tbk,214.0,"0 (0,00%)",-6.0,-34.0,2568000.0
SPTO,PT. Surya Pertiwi Tbk,960.0,"20 (2,13%)",73.0,13.0,2592000.0
KMTR,PT. Kirana Megatara Tbk,320.0,"0 (0,00%)",11.0,28.0,2628800.0
MFIN,PT. Mandala Multifinance Tbk,995.0,"0 (0,00%)",110.0,9.0,2636750.0
MAIN,PT. Malindo Feedmill Tbk,1185.0,"-20 (-1,66%)",111.0,11.0,2652030.0
BEST,PT. Bekasi Fajar Industrial Estate Tbk,278.0,"-18 (-6,08%)",21.0,13.0,2681866.0
MTDL,PT. Metrodata Electronics Tbk,1105.0,"-10 (-0,90%)",104.0,11.0,2712775.0
CENT,PT. Centratama Telekomunikasi Indonesia Tbk,87.0,"1 (1,16%)",1.0,76.0,2712921.0
ELSA,PT. Elnusa Tbk,372.0,"-8 (-2,11%)",38.0,10.0,2714856.0
ASSA,PT. Adi Sarana Armada Tbk,805.0,"25 (3,21%)",42.0,19.0,2734585.0
MYOH,PT. Samindo Resources Tbk,1250.0,"0 (0,00%)",203.0,6.0,2757500.0
ARMY,PT. Armidian Karyatama Tbk,310.0,"-6 (-1,90%)",10.0,31.0,2791860.0
BOGA,PT. Bintang Oto Global Tbk,755.0,"-15 (-1,95%)",1.0,1135.0,2871265.0
NIRO,PT. City Retail Developments Tbk,130.0,"0 (0,00%)",-1.0,-177.0,2885740.0
JSPT,PT. Jakarta Setiabudi Internasional Tbk,1260.0,"35 (2,86%)",126.0,10.0,2920680.0
SSIA,PT. Surya Semesta Internusa Tbk,625.0,"-35 (-5,30%)",8.0,78.0,2940625.0
MBAP,PT. Mitrabara Adiperdana Tbk,2400.0,"-50 (-2,04%)",594.0,4.0,2944800.0
MGRO,PT. Mahkota Group Tbk,840.0,"-25 (-2,89%)",24.0,35.0,2955120.0
IIKP,PT. Inti Agri Resources Tbk,88.0,"-3 (-3,30%)",-0.0,-196.0,2956800.0
ANDI,PT. Andira Agro Tbk,1585.0,"0 (0,00%)",10.0,161.0,2963950.0
CPRO,PT. Central Proteina Prima Tbk,50.0,"0 (0,00%)",29.0,2.0,2978600.0
MMLP,PT. Mega Manunggal Property Tbk,438.0,"-2 (-0,45%)",15.0,29.0,3017382.0
TCID,PT. Mandom Indonesia Tbk,15025.0,"0 (0,00%)",861.0,17.0,3020025.0
TFCO,PT. Tifico Fiber Indonesia Tbk,630.0,"20 (3,28%)",2.0,418.0,3038490.0
TDPM,PT. Tridomain Performance Materials Tbk,292.0,"-4 (-1,35%)",16.0,18.0,3061620.0
MCAS,PT. M Cash Integrasi Tbk,3550.0,"-30 (-0,84%)",93.0,38.0,3077850.0
MREI,PT. Maskapai Reasuransi Indonesia Tbk,6000.0,"-300 (-4,76%)",210.0,29.0,3102000.0
ANJT,PT. Austindo Nusantara Jaya Tbk,925.0,"-5 (-0,54%)",-1.0,-690.0,3102450.0
BRMS,PT. Bumi Resources Minerals Tbk,50.0,"0 (0,00%)",0.0,631.0,3116100.0
OMRE,PT. Indonesia Prima Property Tbk,1790.0,"0 (0,00%)",-40.0,-44.0,3123550.0
PRDA,PT. Prodia Widyahusada Tbk,3340.0,"100 (3,09%)",187.0,18.0,3129580.0
INDR,PT. Indo-Rama Synthetics Tbk,4840.0,"-20 (-0,41%)",2396.0,2.0,3165360.0
BEKS,PT. Bank Pembangunan Daerah Banten Tbk,50.0,"0 (0,00%)",-2.0,-32.0,3173400.0
APLN,PT. Agung Podomoro Land Tbk,167.0,"-5 (-2,91%)",34.0,5.0,3233788.0
PBRX,PT. Pan Brothers Tbk,500.0,"-5 (-0,99%)",34.0,15.0,3239000.0
TOBA,PT. Toba Bara Sejahtra Tbk,1610.0,"25 (1,58%)",272.0,6.0,3239320.0
BPII,PT. Batavia Prosperindo Internasional Tbk,6500.0,"0 (0,00%)",167.0,39.0,3341000.0
SAME,PT. Sarana Meditama Metropolitan Tbk,570.0,"0 (0,00%)",11.0,50.0,3363000.0
MTLA,PT. Metropolitan Land Tbk,446.0,"4 (0,90%)",53.0,8.0,3414130.0
WEGE,PT. Wijaya Karya Bangunan Gedung Tbk,358.0,"-4 (-1,10%)",46.0,8.0,3426776.0
CTBN,PT. Citra Tubindo Tbk,4300.0,"-400 (-8,51%)",6.0,679.0,3440000.0
DILD,PT. Intiland Development Tbk,332.0,"-2 (-0,60%)",16.0,21.0,3441180.0
MIDI,PT. Midi Utama Indonesia Tbk,1200.0,"-5 (-0,41%)",38.0,32.0,3458400.0
BBKP,PT. Bank Bukopin Tbk,300.0,"-4 (-1,32%)",36.0,8.0,3460500.0
IMJS,PT. Indomobil Multi Jasa Tbk,605.0,"-15 (-2,42%)",32.0,19.0,3490245.0
META,PT. Nusantara Infrastucture Tbk,198.0,"1 (0,51%)",14.0,14.0,3506580.0
HRUM,PT. Harum Energy Tbk,1315.0,"-25 (-1,87%)",170.0,8.0,3554445.0
CAMP,PT. Campina Ice Cream Industry Tbk,615.0,"-10 (-1,60%)",10.0,61.0,3619275.0
SHID,PT. Hotel Sahid Jaya International Tbk,3250.0,"-40 (-1,22%)",-3.0,-974.0,3636750.0
SQMI,PT. Renuka Coalindo Tbk,236.0,"2 (0,85%)",0.0,4855.0,3666732.0
PZZA,PT. Sarimelati Kencana Tbk,1215.0,"0 (0,00%)",45.0,27.0,3670515.0
TGKA,PT. Tigaraksa Satria Tbk,4000.0,"-100 (-2,44%)",309.0,13.0,3672000.0
CLEO,PT. Sariguna Primatirta Tbk,306.0,"-12 (-3,77%)",5.0,58.0,3672000.0
ERAA,PT. Erajaya Swasembada Tbk,1155.0,"25 (2,21%)",266.0,4.0,3684450.0
POLA,PT. Pool Advista Finance Tbk,1360.0,"-30 (-2,16%)",14.0,95.0,3701920.0
MDLN,PT. Modernland Realty Tbk,296.0,"-4 (-1,33%)",8.0,38.0,3709768.0
KINO,PT. Kino Indonesia Tbk,2600.0,"0 (0,00%)",98.0,26.0,3712800.0
ARNA,PT. Arwana Citramulia Tbk,510.0,"-15 (-2,86%)",21.0,24.0,3743910.0
HERO,PT. Hero Supermarket Tbk,900.0,"-80 (-8,16%)",-299.0,-3.0,3764700.0
BKSW,PT. Bank QNB Indonesia Tbk,188.0,"23 (13,94%)",-11.0,-18.0,3803616.0
TOTO,PT. Surya Toto Indonesia Tbk,374.0,"2 (0,54%)",38.0,10.0,3859680.0
CARS,PT. Industri dan Perdagangan Bintraco Dharma Tbk,2590.0,"0 (0,00%)",180.0,14.0,3885000.0
ABDA,PT. Asuransi Bina Dana Arta Tbk,6400.0,"800 (14,29%)",247.0,26.0,3968000.0
NOBU,PT. Bank Nationalnobu Tbk,905.0,"-45 (-4,74%)",1.0,820.0,3975665.0
DSNG,PT. Dharma Satya Nusantara Tbk,378.0,"-2 (-0,53%)",40.0,10.0,4006422.0
PPRE,PT. PP Presisi Tbk,394.0,"-14 (-3,43%)",32.0,12.0,4028256.0
BHIT,PT. MNC Investama Tbk,78.0,"-3 (-3,70%)",-14.0,-6.0,4051242.0
SURE,PT. Super Energy Tbk,2750.0,"0 (0,00%)",-19.0,-146.0,4116750.0
MAPB,PT. MAP Boga Adiperkasa Tbk,1900.0,"15 (0,80%)",65.0,29.0,4123000.0
IMPC,PT. Impack Pratama Industri Tbk,860.0,"20 (2,38%)",11.0,75.0,4156380.0
BRAM,PT. Indo Kordsa Tbk,9300.0,"1.550 (20,00%)",542.0,17.0,4185000.0
STTP,PT. Siantar Top Tbk,3200.0,"-100 (-3,03%)",203.0,16.0,4192000.0
RODA,PT. Pikko Land Development Tbk,310.0,"10 (3,33%)",0.0,2592.0,4213520.0
POOL,PT. Pool Advista Indonesia Tbk,1900.0,"-200 (-9,52%)",-45.0,-42.0,4278800.0
BLTZ,PT. Graha Layar Prima Tbk,4950.0,"0 (0,00%)",39.0,127.0,4321350.0
BISI,PT. BISI International Tbk,1460.0,"-45 (-2,99%)",135.0,11.0,4380000.0
CMNP,PT. Citra Marga Nusaphala Persada Tbk,1230.0,"-35 (-2,77%)",188.0,7.0,4452600.0
BINA,PT. Bank Ina Perdana Tbk,800.0,"0 (0,00%)",1.0,886.0,4477600.0
TBLA,PT. Tunas Baru Lampung Tbk,845.0,"0 (0,00%)",142.0,6.0,4513990.0
SGRO,PT. Sampoerna Agro Tbk,2400.0,"-40 (-1,64%)",29.0,82.0,4536000.0
ESSA,PT. Surya Esa Perkasa Tbk,324.0,"-10 (-2,99%)",42.0,8.0,4633200.0
DOID,PT. Delta Dunia Makmur Tbk,545.0,"5 (0,93%)",127.0,4.0,4692995.0
RISE,PT. Jaya Sukses Makmur Sentosa Tbk,478.0,"0 (0,00%)",10.0,50.0,4756100.0
TUGU,PT. Asuransi Tugu Pratama Indonesia Tbk,2680.0,"-10 (-0,37%)",142.0,19.0,4762360.0
BTEK,PT. Bumi Teknokultura Unggul Tbk,105.0,"0 (0,00%)",2.0,64.0,4859085.0
WTON,PT. Wijaya Karya Beton Tbk,570.0,"-5 (-0,87%)",56.0,10.0,4967550.0
PSAB,PT. J Resources Asia Pasifik Tbk,189.0,"-2 (-1,05%)",8.0,23.0,5000940.0
CITA,PT. Cita Mineral Investindo Tbk,1495.0,"35 (2,40%)",196.0,8.0,5038150.0
BWPT,PT. Eagle High Plantations Tbk,160.0,"2 (1,27%)",-11.0,-14.0,5044000.0
PCAR,PT. Prima Cakrawala Abadi Tbk,4350.0,"-10 (-0,23%)",-3.0,-1448.0,5072100.0
FAST,PT. Fast Food Indonesia Tbk,2550.0,"0 (0,00%)",65.0,39.0,5087250.0
MDIA,PT. Intermedia Capital Tbk,130.0,"4 (3,17%)",6.0,20.0,5097950.0
TELE,PT. Tiphone Mobile Indonesia Tbk,700.0,"0 (0,00%)",61.0,11.0,5111400.0
BSSR,PT. Baramulti Suksessarana Tbk,1975.0,"-5 (-0,25%)",382.0,5.0,5166600.0
BUKK,PT. Bukaka Teknik Utama Tbk,1960.0,"25 (1,29%)",213.0,9.0,5174400.0
BRIS,PT. Bank BRIsyariah Tbk,545.0,"-5 (-0,91%)",18.0,31.0,5241810.0
KIJA,PT. Kawasan Industri Jababeka Tbk,252.0,"4 (1,61%)",-25.0,-10.0,5247648.0
WOOD,PT. Integra Indocabinet Tbk,840.0,"5 (0,60%)",38.0,22.0,5297040.0
NATO,PT. Nusantara Properti Internasional Tbk,690.0,"-5 (-0,72%)",0.0,1820.0,5520000.0
SDRA,PT. Bank Woori Saudara Indonesia 1906 Tbk,850.0,"5 (0,59%)",80.0,11.0,5537750.0
ABMM,PT. ABM Investama Tbk,2050.0,"10 (0,49%)",219.0,9.0,5643650.0
DLTA,PT. Delta Djakarta Tbk,7075.0,"150 (2,17%)",388.0,18.0,5660000.0
HITS,PT. Humpuss Intermoda Transportasi Tbk,800.0,"100 (14,29%)",25.0,33.0,5680800.0
PNIN,PT. Paninvest Tbk,1400.0,"-20 (-1,41%)",256.0,5.0,5695200.0
ADHI,PT. Adhi Karya (Persero) Tbk,1615.0,"-65 (-3,87%)",181.0,9.0,5749400.0
TRAM,PT. Trada Alam Minera Tbk,117.0,"-5 (-4,10%)",6.0,20.0,5808231.0
RIMO,PT. Rimo International Lestari Tbk,133.0,"0 (0,00%)",4.0,38.0,5858517.0
MPMX,PT. Mitra Pinasthika Mustika Tbk,1325.0,"15 (1,15%)",1248.0,1.0,5912150.0
BKSL,PT. Sentul City Tbk,107.0,"-4 (-3,60%)",1.0,103.0,5912606.0
BALI,PT. Bali Towerindo Sentra Tbk,1550.0,"50 (3,33%)",13.0,119.0,5995400.0
BMTR,PT. Global Mediacom Tbk,398.0,"-12 (-2,93%)",34.0,12.0,6102932.0
BBMD,PT. Bank Mestika Dharma Tbk,1520.0,"0 (0,00%)",0.0,0.0,6154480.0
EPMT,PT. Enseval Putera Megatrading Tbk,2300.0,"0 (0,00%)",231.0,10.0,6228400.0
NIKL,PT. Pelat Timah Nusantara Tbk,2470.0,"-30 (-1,20%)",-9.0,-280.0,6231810.0
GMFI,PT. Garuda Maintenance Facility Aero Asia Tbk,222.0,"-2 (-0,89%)",16.0,14.0,6267726.0
BCAP,PT. MNC Kapital Indonesia Tbk,165.0,"-1 (-0,60%)",2.0,90.0,6357615.0
ASMI,PT. Asuransi Kresna Mitra Tbk,715.0,"25 (3,62%)",12.0,58.0,6404970.0
ASRI,PT. Alam Sutera Realty Tbk,326.0,"-14 (-4,12%)",43.0,8.0,6405574.0
MINA,PT. Sanurhasta Mitra Tbk,985.0,"-15 (-1,50%)",-1.0,-1880.0,6463570.0
TURI,PT. Tunas Ridean Tbk,1160.0,"0 (0,00%)",100.0,12.0,6472800.0
PADI,PT. Minna Padi Investama Sekuritas Tbk,575.0,"-25 (-4,17%)",6.0,93.0,6501525.0
SIMP,PT. Salim Ivomas Pratama Tbk,412.0,"-4 (-0,96%)",-5.0,-85.0,6516192.0
APIC,PT. Pacific Strategic Financial Tbk,565.0,"-20 (-3,42%)",6.0,97.0,6647225.0
AGRO,PT. Bank Rakyat Indonesia Agroniaga Tbk,320.0,"0 (0,00%)",10.0,33.0,6761280.0
SRIL,PT. Sri Rejeki Isman Tbk,338.0,"-4 (-1,17%)",69.0,5.0,6912776.0
NASA,PT. Ayana Land International Tbk,635.0,"-5 (-0,78%)",-1.0,-580.0,6987540.0
JKON,PT. Jaya Konstruksi Manggala Pratama Tbk,444.0,"44 (11,00%)",8.0,59.0,7240752.0
AUTO,PT. Astra Otoparts Tbk,1520.0,"-25 (-1,62%)",127.0,12.0,7324880.0
TARA,PT. Sitara Propertindo Tbk,735.0,"-10 (-1,34%)",0.0,28820.0,7400715.0
LPKR,PT. Lippo Karawaci Tbk,324.0,"-4 (-1,22%)",27.0,12.0,7476948.0
URBN,PT. Urban Jakarta Propertindo Tbk,2350.0,"-40 (-1,67%)",14.0,164.0,7595200.0
IMAS,PT. Indomobil Sukses Internasional Tbk,2750.0,"-70 (-2,48%)",39.0,70.0,7603750.0
