"Date","Price","Open","High","Low","Change %"
"May 03, 2019","7.442","7.366","7.442","7.366","1.24%"
"May 02, 2019","7.351","7.304","7.351","7.304","0.88%"
"Apr 30, 2019","7.287","7.232","7.287","7.226","0.77%"
"Apr 29, 2019","7.231","7.187","7.231","7.187","0.26%"
"Apr 26, 2019","7.212","7.193","7.218","7.193","0.42%"
"Apr 25, 2019","7.182","7.166","7.182","7.166","0.24%"
"Apr 24, 2019","7.165","7.130","7.165","7.130","0.55%"
"Apr 23, 2019","7.126","7.117","7.126","7.116","0.11%"
"Apr 22, 2019","7.118","7.167","7.167","7.111","0.24%"
"Apr 18, 2019","7.101","7.167","7.167","7.089","-0.38%"
"Apr 16, 2019","7.128","7.140","7.140","7.122","-0.24%"
"Apr 15, 2019","7.145","7.145","7.163","7.144","-0.28%"
"Apr 12, 2019","7.165","7.147","7.165","7.147","0.27%"
"Apr 11, 2019","7.146","7.175","7.175","7.143","-0.31%"
"Apr 10, 2019","7.168","7.171","7.183","7.156","0.13%"
"Apr 09, 2019","7.159","7.153","7.171","7.153","0.49%"
"Apr 08, 2019","7.124","7.113","7.124","7.087","0.54%"
"Apr 05, 2019","7.086","7.103","7.103","7.086","-0.32%"
"Apr 04, 2019","7.109","7.138","7.148","7.108","-0.28%"
"Apr 02, 2019","7.129","7.122","7.129","7.117","0.22%"
"Apr 01, 2019","7.113","7.151","7.151","7.113","-0.67%"
"Mar 29, 2019","7.161","7.151","7.167","7.151","0.27%"
"Mar 28, 2019","7.142","7.087","7.142","7.087","0.96%"
"Mar 27, 2019","7.074","7.103","7.103","7.068","-0.46%"
"Mar 26, 2019","7.107","7.175","7.175","7.107","-0.82%"
"Mar 25, 2019","7.166","7.062","7.166","7.062","0.59%"
"Mar 22, 2019","7.124","7.134","7.139","7.117","-0.56%"
"Mar 21, 2019","7.164","7.269","7.269","7.164","-1.49%"
"Mar 20, 2019","7.272","7.326","7.329","7.272","-0.55%"
"Mar 19, 2019","7.312","7.337","7.337","7.309","-0.16%"
"Mar 18, 2019","7.324","7.409","7.409","7.324","-0.95%"
"Mar 15, 2019","7.394","7.435","7.435","7.394","-0.54%"
"Mar 14, 2019","7.434","7.460","7.466","7.434","-0.24%"
"Mar 13, 2019","7.452","7.485","7.485","7.447","-0.56%"
"Mar 12, 2019","7.494","7.537","7.537","7.494","-0.65%"
"Mar 11, 2019","7.543","7.575","7.575","7.543","-0.19%"
"Mar 08, 2019","7.557","7.470","7.557","7.470","0.81%"
"Mar 06, 2019","7.496","7.498","7.507","7.490","0.29%"
"Mar 05, 2019","7.474","7.497","7.497","7.474","-0.19%"
"Mar 04, 2019","7.488","7.496","7.520","7.484","-0.09%"
"Mar 01, 2019","7.495","7.533","7.548","7.488","-0.54%"
"Feb 28, 2019","7.536","7.530","7.545","7.530","0.07%"
"Feb 27, 2019","7.531","7.636","7.636","7.499","-1.76%"
"Feb 26, 2019","7.666","7.708","7.723","7.666","-0.58%"
"Feb 25, 2019","7.711","7.731","7.743","7.711","-0.63%"
"Feb 22, 2019","7.760","7.757","7.772","7.757","0.04%"
"Feb 21, 2019","7.757","7.748","7.761","7.733","0.01%"
"Feb 20, 2019","7.756","7.787","7.787","7.756","-0.54%"
"Feb 19, 2019","7.798","7.813","7.822","7.798","-0.29%"
"Feb 18, 2019","7.821","7.859","7.859","7.821","-0.04%"
"Feb 15, 2019","7.824","7.785","7.824","7.785","0.46%"
"Feb 14, 2019","7.788","7.726","7.790","7.726","0.61%"
"Feb 13, 2019","7.741","7.782","7.782","7.733","-0.51%"
"Feb 12, 2019","7.781","7.788","7.818","7.781","0.14%"
"Feb 11, 2019","7.770","7.721","7.770","7.721","0.43%"
"Feb 08, 2019","7.737","7.697","7.740","7.697","0.47%"
"Feb 07, 2019","7.701","7.688","7.711","7.682","0.21%"
"Feb 06, 2019","7.685","7.709","7.733","7.685","-0.56%"
"Feb 04, 2019","7.728","7.697","7.748","7.697","-0.88%"
"Feb 01, 2019","7.797","7.836","7.862","7.797","-0.94%"
"Jan 31, 2019","7.871","7.993","7.993","7.871","-1.54%"
"Jan 30, 2019","7.994","7.994","8.011","7.994","-0.04%"
"Jan 29, 2019","7.997","7.999","8.018","7.983","0.00%"
"Jan 28, 2019","7.997","7.966","7.997","7.966","0.01%"
"Jan 25, 2019","7.996","7.980","8.003","7.980","0.18%"
"Jan 24, 2019","7.982","7.980","7.982","7.972","-0.10%"
"Jan 23, 2019","7.990","8.004","8.004","7.990","-0.15%"
"Jan 22, 2019","8.002","7.997","8.003","7.994","0.10%"
"Jan 21, 2019","7.994","7.944","8.003","7.944","0.11%"
"Jan 18, 2019","7.985","7.991","8.002","7.985","-0.08%"
"Jan 17, 2019","7.991","7.981","7.992","7.981","0.13%"
"Jan 16, 2019","7.981","7.982","7.988","7.977","0.14%"
"Jan 15, 2019","7.970","7.908","7.977","7.908","0.92%"
"Jan 14, 2019","7.897","7.888","7.897","7.880","0.18%"
"Jan 11, 2019","7.883","7.861","7.899","7.861","0.34%"
"Jan 10, 2019","7.856","7.864","7.864","7.841","-0.06%"
"Jan 09, 2019","7.861","7.873","7.876","7.857","-0.09%"
"Jan 08, 2019","7.868","7.789","7.868","7.768","0.91%"
"Jan 07, 2019","7.797","7.889","7.912","7.793","-2.79%"
"Jan 04, 2019","8.021","7.933","8.030","7.933","1.54%"
"Jan 03, 2019","7.899","7.875","7.899","7.875","0.37%"
"Jan 02, 2019","7.870","7.845","7.870","7.845","0.32%"
"Dec 31, 2018","7.845","7.839","7.901","7.839","-0.32%"
"Dec 28, 2018","7.870","7.839","7.875","7.839","0.34%"
"Dec 27, 2018","7.843","7.770","7.843","7.770","1.00%"
"Dec 26, 2018","7.765","7.885","8.006","7.732","-1.77%"
"Dec 21, 2018","7.905","7.977","7.977","7.905","-0.87%"
"Dec 20, 2018","7.974","8.002","8.031","7.974","-0.05%"
"Dec 19, 2018","7.978","8.085","8.085","7.978","-1.32%"
"Dec 18, 2018","8.085","8.094","8.094","8.085","-0.07%"
"Dec 17, 2018","8.091","8.004","8.091","8.004","0.72%"
"Dec 14, 2018","8.033","8.096","8.096","8.024","-1.03%"
"Dec 13, 2018","8.117","8.137","8.141","8.117","-0.21%"
"Dec 12, 2018","8.134","8.132","8.187","8.132","-0.43%"
"Dec 11, 2018","8.169","8.079","8.169","8.079","1.55%"
"Dec 10, 2018","8.044","7.981","8.054","7.964","0.90%"
"Dec 07, 2018","7.972","7.982","7.992","7.972","0.04%"
"Dec 06, 2018","7.969","7.864","7.969","7.864","1.43%"
"Dec 05, 2018","7.857","7.808","7.857","7.808","0.67%"
"Dec 04, 2018","7.805","7.834","7.834","7.787","-0.37%"
"Dec 03, 2018","7.834","7.902","7.902","7.834","-0.17%"
"Nov 30, 2018","7.847","7.870","7.870","7.847","-0.37%"
"Nov 29, 2018","7.876","7.870","7.876","7.870","-0.24%"
"Nov 28, 2018","7.895","7.854","7.895","7.844","0.56%"
